unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.58E+12,08-03-2020 0:00,BTC/USDT,8895.62,8897.71,7997.7,8038.46,237407,2.00E+09,443337
1.58E+12,09-03-2020 0:00,BTC/USDT,8038.99,8182.31,7635.21,7932.15,334399.1,2.63E+09,630254
1.58E+12,10-03-2020 0:00,BTC/USDT,7932.45,8156.31,7733,7897.66,257068.7,2.04E+09,480453
1.58E+12,11-03-2020 0:00,BTC/USDT,7898.21,7988,7593.29,7938.39,220537.4,1.72E+09,401429
1.58E+12,12-03-2020 0:00,BTC/USDT,7938.39,7969,4347,4764.65,784747,4.94E+09,1559176
1.58E+12,13-03-2020 00:00,BTC/USDT,4762.28,5971,3621.81,5570.26,935489.2,4.78E+09,2491958
1.58E+12,14-03-2020 00:00,BTC/USDT,5569.84,5638.42,5040,5167.01,316242.6,1.70E+09,778184
1.58E+12,15-03-2020 00:00,BTC/USDT,5167.21,5954.47,5089.12,5357.32,356311.8,1.92E+09,806813
1.58E+12,16-03-2020 00:00,BTC/USDT,5354.81,5361.26,4413.62,5026.26,621555.8,3.04E+09,1445469
1.58E+12,17-03-2020 00:00,BTC/USDT,5027.11,5529.98,4913.49,5307.38,429908.1,2.27E+09,1054231
1.58E+12,18-03-2020 00:00,BTC/USDT,5306.42,5435,4982.75,5389.64,402005.7,2.11E+09,915737
1.58E+12,19-03-2020 00:00,BTC/USDT,5389.94,6400,5246.5,6159.6,499391.2,2.92E+09,1105378
1.58E+12,20-03-2020 00:00,BTC/USDT,6159.41,6911,5650,6203.77,571898,3.64E+09,1274738
1.58E+12,21-03-2020 00:00,BTC/USDT,6204.47,6457.17,5854.01,6183.69,387679.6,2.39E+09,986672
1.58E+12,22-03-2020 00:00,BTC/USDT,6183.84,6408.91,5730.35,5810.17,391002.8,2.38E+09,1072425
1.58E+12,23-03-2020 00:00,BTC/USDT,5810.3,6619.9,5670,6463.84,489746.1,3.01E+09,1193611
1.59E+12,24-03-2020 00:00,BTC/USDT,6463.21,6840,6369,6741.33,437968.6,2.90E+09,1114257
1.59E+12,25-03-2020 00:00,BTC/USDT,6740.86,6960.71,6436.26,6673.41,400684.5,2.67E+09,1046097
1.59E+12,26-03-2020 00:00,BTC/USDT,6673.57,6777.5,6500,6733.76,281245.6,1.87E+09,808889
1.59E+12,27-03-2020 00:00,BTC/USDT,6733.76,6840,6230,6353.64,258213.5,1.72E+09,741333
1.59E+12,28-03-2020 00:00,BTC/USDT,6353.64,6354.74,6004,6230.95,341944.2,2.12E+09,1008455
1.59E+12,29-03-2020 00:00,BTC/USDT,6231.81,6260,5857.6,5876.27,251335.9,1.53E+09,695647
1.59E+12,30-03-2020 00:00,BTC/USDT,5876.27,6606.15,5850,6391.08,387322,2.44E+09,1071219
1.59E+12,31-03-2020 00:00,BTC/USDT,6389.52,6516.63,6320,6407.1,262522.6,1.69E+09,790788
1.59E+12,01-04-2020 0:00,BTC/USDT,6407.1,6693,6140,6641.51,390529.6,2.47E+09,1158799
1.59E+12,02-04-2020 0:00,BTC/USDT,6641.22,7290,6542.73,6791.63,531321.4,3.60E+09,1382876
1.59E+12,03-04-2020 0:00,BTC/USDT,6791.65,7049.11,6600,6729.8,411944.9,2.81E+09,1074346
1.59E+12,04-04-2020 0:00,BTC/USDT,6729.8,7020,6629.99,6851.1,319849.8,2.17E+09,918658
1.59E+12,05-04-2020 0:00,BTC/USDT,6851.4,6893.44,6668.02,6768.9,239224.5,1.62E+09,698862
1.59E+12,06-04-2020 0:00,BTC/USDT,6768.9,7370,6760,7325.73,461331,3.27E+09,1279153
1.59E+12,07-04-2020 0:00,BTC/USDT,7325.73,7457,7070.43,7192.9,419572,3.07E+09,1075255
1.59E+12,08-04-2020 0:00,BTC/USDT,7192.9,7417.83,7145.14,7357.66,332599.6,2.43E+09,1007080
1.59E+12,09-04-2020 0:00,BTC/USDT,7357.15,7365.69,7105.98,7278.65,293638.6,2.14E+09,844238
1.59E+12,10-04-2020 0:00,BTC/USDT,7278.83,7290,6741,6857.82,440148.5,3.06E+09,1366733
1.59E+12,11-04-2020 0:00,BTC/USDT,6858,6944.28,6757.29,6874.18,224157.8,1.54E+09,703329
1.59E+12,12-04-2020 0:00,BTC/USDT,6874.17,7173.98,6775.66,6900.52,321594.8,2.25E+09,960439
1.59E+12,13-04-2020 00:00,BTC/USDT,6900.19,6900.99,6558,6834,421954.8,2.84E+09,1257602
1.59E+12,14-04-2020 00:00,BTC/USDT,6834.01,6975.6,6751,6864.11,280445.4,1.93E+09,1002761
1.59E+12,15-04-2020 00:00,BTC/USDT,6864.11,6929,6602.59,6616.89,281136.7,1.90E+09,978500
1.59E+12,16-04-2020 00:00,BTC/USDT,6616.88,7190.92,6465.33,7098.15,559868.6,3.87E+09,1570129
1.59E+12,17-04-2020 00:00,BTC/USDT,7098.15,7140,6981,7022.44,277339.6,1.96E+09,815405
1.59E+12,18-04-2020 00:00,BTC/USDT,7022,7290,7008.11,7242.42,225807.2,1.62E+09,665801
1.59E+12,19-04-2020 00:00,BTC/USDT,7242.49,7258.42,7055,7118.03,216975.1,1.55E+09,687566
1.59E+12,20-04-2020 00:00,BTC/USDT,7118.04,7208.55,6735.95,6825.29,445105,3.11E+09,1327875
1.59E+12,21-04-2020 00:00,BTC/USDT,6825.28,6940,6759.16,6838,288024.5,1.97E+09,927606
1.59E+12,22-04-2020 00:00,BTC/USDT,6838,7154.9,6812.57,7120.06,306482.2,2.15E+09,926951
1.59E+12,23-04-2020 00:00,BTC/USDT,7120.06,7802.38,7020,7483.35,472510,3.48E+09,1298970
1.59E+12,24-04-2020 00:00,BTC/USDT,7483.36,7612.91,7388,7504.11,278378.4,2.09E+09,808016
1.59E+12,25-04-2020 00:00,BTC/USDT,7504.62,7722.33,7433,7534.01,243266.8,1.84E+09,645606
1.59E+12,26-04-2020 00:00,BTC/USDT,7534.01,7709.57,7476.86,7694.17,269921.9,2.05E+09,720885
1.59E+12,27-04-2020 00:00,BTC/USDT,7693.63,7795.6,7623.98,7774,290336.2,2.24E+09,755785
1.59E+12,28-04-2020 00:00,BTC/USDT,7774,7780,7662.49,7735.75,217652.8,1.68E+09,588167
