unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,pct_chagnge
1.63244E+12,44463,BTC/USDT,44828.29,45134.33,40650,42798.49,608595.52,25937929796,0
1.63236E+12,44462,BTC/USDT,43520,44976.48,43056,44828.29,330253.53,14552188971,0.05
1.63227E+12,44461,BTC/USDT,40727.83,43989.98,40551.49,43520,400849.75,17055828173,-0.03
1.63218E+12,44460,BTC/USDT,43026.61,43629.6,39503.58,40726.1,683242,28674205460,-0.06
1.6321E+12,44459,BTC/USDT,47256.92,47345,42467.86,43026.6,600764.63,26601166550,0.06
1.63201E+12,44458,BTC/USDT,48284.61,48364.64,46840,47256.91,212631.93,10122579343,0.1
1.63192E+12,44457,BTC/USDT,47303.11,48850,47044.32,48285.15,207900.41,10031215318,0.02
1.63184E+12,44456,BTC/USDT,47745.55,48150,46750,47303.11,226193.34,10742174763,-0.02
1.63175E+12,44455,BTC/USDT,48106.13,48488,47038.21,47745.55,260044.73,12433719043,0.01
1.63166E+12,44454,BTC/USDT,47087.18,48440.93,46675,48106.12,244226.37,11624351580,0.01
1.63158E+12,44453,BTC/USDT,44975.96,47272.98,44692.9,47087.18,277925.72,12831694974,-0.02
1.63149E+12,44452,BTC/USDT,46048.02,46933.89,43323.93,44975.96,448942.07,20131171676,-0.04
1.6314E+12,44451,BTC/USDT,45194.19,46512.2,44746.51,46046.73,223534.63,10201271596,0.02
1.63132E+12,44450,BTC/USDT,44860.83,45999,44737.4,45193.78,194144.12,8807681962,-0.02
1.63123E+12,44449,BTC/USDT,46413.88,47037.5,44120,44860.83,343533.07,15708080883,-0.01
1.63115E+12,44448,BTC/USDT,46060.02,47400,45500,46413.88,309015.75,14346157049,0.03
1.63106E+12,44447,BTC/USDT,46864.38,47347,44431,46062.29,435803.01,20085515481,-0.01
1.63097E+12,44446,BTC/USDT,52683.98,52950,42088,46864.39,764140.14,37281067593,0.02
1.63089E+12,44445,BTC/USDT,51799.56,52830,51040,52683.97,297734.28,15423250787,0.12
1.6308E+12,44444,BTC/USDT,49942.2,51950,49462.59,51799.57,288984.12,14588935796,-0.02
1.63071E+12,44443,BTC/USDT,50027.09,50582.08,49360,49940.74,274956.84,13759937548,-0.04
1.63063E+12,44442,BTC/USDT,49299.14,51111,48333,50027.08,430326.39,21513177166,0
1.63054E+12,44441,BTC/USDT,48842.93,50420,48631.2,49299.14,361863.06,17997935761,-0.01
1.63045E+12,44440,BTC/USDT,47150.32,49160.79,46550.99,48842.94,350108.37,16740393337,-0.01
1.63037E+12,44439,BTC/USDT,47024.69,48298,46731.03,47150.32,365548.21,17331998427,-0.03
1.63028E+12,44438,BTC/USDT,48795.42,48916.25,46876.49,47024.7,351830.75,16883434689,0
1.6302E+12,44437,BTC/USDT,48931.99,49769.2,47741.31,48795.41,315105.5,15338512478,0.04
1.63011E+12,44436,BTC/USDT,49082.13,49333,48395.65,48931.99,222793.02,10891802523,0
1.63002E+12,44435,BTC/USDT,46854.22,49220,46359.97,49083.98,403667.01,19245054650,0
1.62994E+12,44434,BTC/USDT,48992.65,49380,46280,46853.06,475183.12,22473235583,-0.05
1.62985E+12,44433,BTC/USDT,47719.37,49297.8,47130.57,48992.65,389100.38,18737744220,0.05
1.62976E+12,44432,BTC/USDT,49523.23,49888.88,47600,47719.36,398682,19450210328,-0.03
1.62968E+12,44431,BTC/USDT,49273.28,50600,49075.01,49523.91,355733.5,17745733776,0.04
1.62959E+12,44430,BTC/USDT,48846.11,49556.2,48075.81,49273.28,294672.22,14395479953,-0.01
1.6295E+12,44429,BTC/USDT,49332.99,49833,48250,48848.29,347594.45,17049427213,-0.01
1.62942E+12,44428,BTC/USDT,46772,49500,46650,49332.74,401499.08,19242378733,0.01
1.62933E+12,44427,BTC/USDT,44714.09,47100,43938.38,46772,439402.16,19883402233,-0.05
1.62924E+12,44426,BTC/USDT,44704.85,46050,44227.32,44714.09,395836.16,17865646755,-0.04
1.62916E+12,44425,BTC/USDT,45926.23,47194,44412.01,44704.84,474316.4,21777823959,0
